time,ax,ay,az,gx,gy,gz,mx,my,mz
0.006266117095947266,-0.0,-1.0,-0.14,0.0,0.06,-1.34,17.1,-4.65,22.0
0.06780314445495605,0.0,-0.99,-0.15,-0.06,-0.12,-1.34,17.85,-6.0,22.0
0.12694811820983887,0.03,-0.98,-0.09,-0.06,0.06,-1.34,17.55,-5.4,22.0
0.18693113327026367,-0.02,-0.99,-0.11,0.0,0.18,-1.34,18.0,-5.55,22.0
0.24685215950012207,-0.01,-0.99,-0.13,-0.06,0.12,-1.4,15.9,-4.35,21.0
0.3069930076599121,-0.0,-0.98,-0.14,-0.12,-0.18,-1.34,18.15,-4.95,22.0
0.36718010902404785,-0.0,-0.98,-0.13,-0.24,-0.06,-1.46,17.7,-4.35,22.0
0.4280681610107422,0.01,-0.99,-0.14,-0.12,-0.18,-1.46,17.55,-6.45,23.0
0.48711514472961426,-0.0,-0.99,-0.14,-0.18,-0.06,-1.4,17.1,-4.2,22.0
0.5469081401824951,-0.0,-0.99,-0.13,0.0,0.06,-1.4,17.55,-6.0,22.0
0.6067600250244141,0.0,-0.99,-0.14,0.06,0.0,-1.4,17.55,-5.7,23.0
0.6674652099609375,0.0,-0.98,-0.15,-0.12,-0.24,-1.46,18.6,-5.4,22.0
0.726844072341919,0.01,-0.98,-0.13,-0.18,-0.18,-1.4,17.85,-4.95,22.0
0.7883810997009277,0.0,-0.99,-0.13,-0.18,-0.06,-1.4,17.55,-4.2,22.0
0.8469820022583008,0.01,-0.98,-0.14,-0.06,0.0,-1.46,18.15,-5.7,23.0
0.907804012298584,0.0,-0.99,-0.15,-0.12,-0.06,-1.4,16.65,-4.05,22.0
0.9670491218566895,-0.0,-0.99,-0.12,-0.12,-0.06,-1.28,18.75,-5.85,23.0
1.0275051593780518,0.0,-0.98,-0.13,-0.06,-0.18,-1.4,16.05,-4.65,22.0
1.0866641998291016,0.0,-0.99,-0.12,-0.18,-0.06,-1.46,17.7,-4.35,23.0
1.1467950344085693,-0.0,-0.98,-0.13,-0.12,-0.06,-1.34,17.55,-4.95,23.0
1.2063930034637451,-0.0,-0.99,-0.12,0.0,0.0,-1.4,17.7,-5.55,22.0
1.2673799991607666,0.0,-0.99,-0.14,-0.12,0.0,-1.4,17.7,-4.35,22.0
1.3269271850585938,0.01,-0.98,-0.13,-0.06,0.0,-1.4,16.95,-5.55,23.0
1.3879971504211426,-0.0,-0.99,-0.13,-0.18,-0.24,-1.4,17.25,-5.1,23.0
1.4463810920715332,0.0,-0.99,-0.12,0.0,0.18,-1.34,18.0,-6.3,22.0
1.5070521831512451,0.01,-0.99,-0.14,-0.06,-0.12,-1.4,17.7,-6.6,25.0
1.5676121711730957,-0.0,-0.98,-0.12,-0.06,-0.12,-1.4,17.25,-5.1,23.0
1.627427101135254,-0.01,-0.98,-0.14,0.0,0.0,-1.4,18.0,-4.8,22.0
1.686359167098999,0.0,-0.99,-0.14,-0.06,0.06,-1.22,18.0,-4.35,22.0
1.746960163116455,0.0,-0.99,-0.13,-0.06,-0.18,-1.46,16.65,-6.3,21.0
1.806251049041748,0.0,-0.99,-0.13,-0.06,0.0,-1.34,19.35,-4.95,22.0
1.8663182258605957,0.0,-0.98,-0.15,0.0,0.0,-1.34,16.95,-5.1,22.0
1.926652193069458,0.0,-0.98,-0.14,0.0,0.0,-1.34,17.25,-4.8,21.0
1.9866502285003662,-0.0,-0.99,-0.13,-0.18,-0.06,-1.46,16.2,-4.8,23.0
2.0464980602264404,0.0,-0.98,-0.14,0.0,0.0,-1.34,17.85,-5.4,22.0
2.10752010345459,-0.01,-0.98,-0.13,0.0,0.0,-1.34,16.2,-4.8,21.0
2.166607141494751,0.0,-0.99,-0.14,0.0,0.0,-1.34,16.35,-5.7,23.0
2.2269132137298584,0.0,-0.98,-0.13,-0.12,-0.18,-1.46,16.95,-5.1,23.0
2.2877721786499023,-0.01,-0.99,-0.14,-0.06,0.0,-1.34,17.7,-5.55,22.0
