time,ax,ay,az,gx,gy,gz,mx,my,mz
0.010469436645507812,0.01,-0.57,0.81,-0.06,-0.12,-1.46,-10.05,-5.7,30.46
0.06981563568115234,0.02,-0.58,0.81,-0.12,-0.06,-1.4,-9.45,-5.85,30.61
0.13001322746276855,0.01,-0.58,0.8,0.0,0.0,-1.46,-10.2,-6.6,32.41
0.19034385681152344,0.01,-0.59,0.8,-0.37,-0.18,-1.4,-8.55,-8.25,32.56
0.24963140487670898,0.01,-0.58,0.8,-0.55,-0.18,-1.52,-9.45,-6.9,31.66
0.31098341941833496,0.01,-0.59,0.8,-0.06,-0.18,-1.52,-8.7,-7.65,31.06
0.3696451187133789,0.01,-0.58,0.82,0.0,0.0,-1.46,-9.45,-6.9,31.36
0.4304184913635254,0.02,-0.58,0.8,-0.18,-0.06,-1.46,-10.2,-6.9,31.36
0.490466833114624,0.01,-0.58,0.8,-0.18,-0.06,-1.46,-10.35,-4.95,32.56
0.5512654781341553,0.02,-0.58,0.81,-0.12,-0.06,-1.52,-9.15,-7.35,31.66
0.6104106903076172,0.01,-0.59,0.81,-0.12,-0.06,-1.46,-9.6,-6.45,31.21
0.6700625419616699,0.02,-0.58,0.81,0.0,0.0,-1.52,-8.7,-6.6,31.36
0.7301554679870605,0.02,-0.58,0.8,0.0,0.0,-1.46,-10.05,-5.7,31.51
0.7898352146148682,0.01,-0.58,0.82,0.0,0.0,-1.46,-10.8,-6.75,31.21
0.8512082099914551,0.02,-0.59,0.8,0.0,0.0,-1.46,-9.9,-6.9,32.11
0.9091229438781738,0.01,-0.58,0.8,0.0,0.0,-1.46,-9.9,-5.1,31.36
0.970850944519043,0.01,-0.58,0.81,-0.12,-0.06,-1.46,-10.2,-5.85,32.11
1.0305867195129395,0.01,-0.59,0.81,0.0,0.0,-1.46,-10.8,-6.0,32.26
1.0913360118865967,0.01,-0.59,0.8,0.0,0.0,-1.4,-8.55,-6.0,31.21
1.1495883464813232,0.02,-0.59,0.8,-0.06,-0.18,-1.28,-9.15,-6.3,31.66
1.210216999053955,0.02,-0.58,0.8,-0.12,-0.18,-1.46,-8.4,-5.85,32.11
1.2702248096466064,0.01,-0.58,0.81,-0.12,-0.06,-1.46,-9.0,-7.2,32.56
1.329422950744629,0.01,-0.58,0.8,0.0,0.0,-1.52,-8.4,-5.55,31.66
1.3892841339111328,0.01,-0.58,0.8,0.0,0.0,-1.46,-10.05,-6.45,31.96
1.4497039318084717,0.01,-0.59,0.8,0.0,0.0,-1.46,-9.3,-6.0,31.51
1.5093982219696045,0.02,-0.59,0.81,0.0,0.0,-1.59,-9.3,-6.75,31.51
1.5703842639923096,0.01,-0.58,0.8,-0.06,-0.12,-1.52,-9.6,-6.0,31.96
1.6295840740203857,0.02,-0.59,0.79,-0.12,-0.06,-1.46,-7.5,-5.7,32.26
1.6893832683563232,0.01,-0.58,0.79,-0.12,-0.06,-1.4,-9.45,-5.1,32.11
1.7500145435333252,0.01,-0.58,0.79,-0.12,-0.18,-1.4,-9.3,-7.2,31.21
1.8101799488067627,0.02,-0.58,0.8,0.0,0.0,-1.46,-9.6,-7.2,32.26
1.8693699836730957,0.02,-0.58,0.81,0.0,0.0,-1.52,-10.35,-6.75,31.96
1.9307243824005127,0.0,-0.58,0.81,-0.12,-0.18,-1.34,-10.35,-6.45,31.96
1.9905500411987305,0.02,-0.58,0.82,0.0,0.06,-1.4,-9.9,-5.55,33.16
2.050074577331543,0.01,-0.59,0.8,-0.18,-0.06,-1.46,-10.05,-6.0,33.01
2.1098008155822754,0.02,-0.58,0.79,-0.06,-0.12,-1.46,-9.3,-6.0,30.91
2.1691513061523438,0.02,-0.59,0.79,0.0,0.0,-1.46,-8.7,-6.6,31.06
2.229349374771118,0.01,-0.58,0.81,0.06,0.0,-1.46,-9.6,-5.4,31.51
2.289430618286133,0.02,-0.58,0.81,-0.06,-0.12,-1.46,-9.9,-7.35,31.66
2.34952712059021,0.02,-0.58,0.79,0.0,0.0,-1.4,-10.05,-6.0,31.21
2.4095065593719482,0.02,-0.58,0.81,-0.18,-0.06,-1.46,-9.45,-5.85,31.06
2.4696266651153564,0.02,-0.58,0.82,-0.06,-0.12,-1.46,-9.0,-5.7,30.46
2.529331684112549,0.02,-0.58,0.79,0.0,0.0,-1.52,-8.55,-6.75,31.21
2.5900046825408936,0.01,-0.58,0.8,-0.06,-0.12,-1.46,-9.6,-5.7,32.26
2.6493279933929443,0.01,-0.59,0.81,-0.06,-0.12,-1.46,-8.55,-6.0,31.51
2.709789514541626,0.02,-0.58,0.8,-0.12,-0.18,-1.46,-9.6,-6.0,31.51
2.769562005996704,0.01,-0.58,0.82,0.0,0.0,-1.4,-9.9,-6.9,32.41
2.8295578956604004,0.01,-0.59,0.8,0.06,0.0,-1.46,-8.4,-7.35,30.31
2.890920400619507,0.01,-0.59,0.81,0.0,0.0,-1.46,-8.55,-5.4,32.26
2.9492530822753906,0.01,-0.58,0.81,-0.06,-0.12,-1.46,-9.6,-6.45,31.21
3.0099198818206787,0.02,-0.58,0.8,0.0,0.0,-1.4,-9.15,-5.85,32.11
3.0704329013824463,0.01,-0.59,0.81,0.0,0.0,-1.4,-9.45,-6.6,31.36
3.1299684047698975,0.01,-0.58,0.81,-0.12,-0.06,-1.46,-8.55,-6.75,32.26
3.1888821125030518,0.01,-0.59,0.8,0.0,0.0,-1.46,-9.6,-6.0,31.96
3.2500758171081543,0.01,-0.59,0.79,-0.12,-0.06,-1.46,-8.55,-6.75,32.26
3.3098952770233154,0.01,-0.58,0.8,-0.12,-0.18,-1.4,-10.8,-4.95,32.56
3.3690710067749023,0.02,-0.59,0.81,0.0,0.0,-1.34,-9.45,-6.6,30.61
3.4291887283325195,0.0,-0.58,0.81,-0.06,-0.12,-1.4,-9.6,-6.45,32.56
3.4896090030670166,0.02,-0.59,0.8,0.0,0.0,-1.46,-11.1,-7.5,31.21
3.550804853439331,0.01,-0.58,0.81,-0.06,-0.12,-1.46,-8.55,-5.7,33.31
3.610762119293213,0.02,-0.58,0.79,-0.06,-0.12,-1.46,-10.05,-6.75,31.21
3.6695148944854736,0.01,-0.57,0.79,-0.12,-0.06,-1.46,-9.45,-7.65,31.06
3.73134183883667,0.01,-0.58,0.81,-0.12,-0.06,-1.4,-8.4,-6.6,32.11
3.7895736694335938,0.01,-0.58,0.8,-0.12,-0.06,-1.59,-8.55,-6.0,32.26
3.849912405014038,0.01,-0.58,0.79,-0.06,-0.12,-1.52,-8.55,-7.2,30.46
3.909290075302124,0.01,-0.58,0.8,-0.18,-0.06,-1.4,-8.4,-7.65,31.06
3.9692983627319336,0.01,-0.58,0.8,0.06,-0.12,-1.46,-10.65,-5.55,31.66
4.030218839645386,0.01,-0.59,0.81,-0.06,-0.12,-1.46,-9.9,-5.1,32.11
4.089430332183838,0.01,-0.58,0.79,0.0,0.0,-1.4,-7.65,-6.6,31.06
4.1493518352508545,0.01,-0.59,0.8,0.0,0.0,-1.52,-10.35,-6.45,33.61
4.209049701690674,0.02,-0.58,0.81,0.06,0.0,-1.46,-9.3,-6.75,32.26
4.269624948501587,0.01,-0.58,0.81,-0.12,-0.06,-1.4,-8.7,-4.8,31.06
4.329471826553345,0.01,-0.58,0.8,-0.12,-0.18,-1.46,-9.3,-6.0,32.56
4.389334678649902,0.0,-0.58,0.8,0.0,0.0,-1.46,-10.35,-6.45,33.01
4.449998378753662,0.01,-0.58,0.8,-0.06,-0.18,-1.46,-8.55,-6.75,33.01
4.509721040725708,0.01,-0.58,0.8,0.0,0.06,-1.46,-10.35,-6.45,31.96
4.569519758224487,0.01,-0.58,0.79,-0.12,-0.06,-1.4,-8.1,-5.85,31.36
4.629192113876343,0.02,-0.58,0.8,0.0,0.06,-1.46,-9.6,-6.45,31.51
4.688847303390503,0.01,-0.58,0.8,-0.12,-0.06,-1.46,-9.3,-6.45,30.16
4.749678373336792,0.01,-0.58,0.8,-0.12,-0.06,-1.52,-9.6,-6.75,30.46
